Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,264.84000000000003,3178.08,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
CIP68,US East (N. Virginia),CIP68,Amazon EC2 ,0,264.84000000000003,3178.08,USD,Cost updated,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m6g.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), EBS Storage amount (400 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
